"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,3.263215939E-2,-1.240788663E-1,1.272973931E-1,1.807347481E-1
9.980000032E-3,-7.322146565E-2,-1.308178554E-1,2.649747634E-1,3.044442799E-1
1.996000001E-2,-9.223242654E-2,-1.121195561E-1,5.077371240E-2,1.538037231E-1
2.993900003E-2,-2.178626871E-2,-1.167368100E-1,-3.214079958E-1,3.426444573E-1
3.991900000E-2,6.515353231E-2,-1.654655318E-1,-4.581141436E-1,4.914187558E-1
4.989900003E-2,6.007228363E-2,-1.777861999E-1,-3.887234813E-1,4.316509667E-1
5.987900001E-2,-6.453590188E-2,-1.625638510E-1,7.959990084E-2,1.921666790E-1
6.985800003E-2,-1.467288967E-1,-1.104615051E-1,4.075257879E-1,4.469993077E-1
7.983800001E-2,-1.045609153E-1,-1.485040748E-1,9.772545075E-1,9.939883388E-1
8.981800004E-2,4.828712912E-2,-1.618550223E-1,1.017697944E0,1.031619019E0
9.979800001E-2,2.262339082E-1,-1.234969953E-1,6.625684708E-1,7.109361909E-1
1.097770000E-1,2.156156935E-1,-1.424830507E-1,4.435937530E-1,5.133877333E-1
1.197570000E-1,7.837507362E-2,-1.349616310E-1,-8.752989471E-2,1.789379123E-1
1.297370000E-1,-1.149036348E-1,-1.053029452E-1,-9.318076086E-1,9.447523353E-1
1.397170000E-1,-2.569461160E-1,-1.401799055E-1,-1.567978824E0,1.595064045E0
1.496960000E-1,-3.100186430E-1,-1.720713506E-1,-2.045695174E0,2.076195765E0
1.596760000E-1,-2.971378116E-1,-1.431497063E-1,-2.085354499E0,2.111275942E0
1.696560000E-1,-2.150773294E-1,-5.047535822E-2,-2.054427990E0,2.066272099E0
1.796360000E-1,-2.400599968E-2,-3.579804294E-2,-1.499179316E0,1.499798789E0
1.896150000E-1,1.547853366E-1,-4.470101349E-2,-1.029971834E0,1.042496360E0
1.995950000E-1,3.769800065E-1,2.041102186E-2,-1.364761768E0,1.416017379E0
2.095750000E-1,4.480271119E-1,8.029053010E-2,-2.471094730E0,2.512664727E0
2.195550000E-1,4.773837524E-1,3.498623013E-2,-4.003122534E0,4.031638539E0
2.295340000E-1,7.631846534E-1,-1.460434203E-1,-5.013658224E0,5.073514391E0
2.395140000E-1,1.787215644E0,-2.987656765E-1,-5.766746271E0,6.044730204E0
2.494940000E-1,1.333265741E0,-1.402328045E-1,-8.640586690E0,8.743969415E0
2.594740000E-1,-3.543166371E-1,-1.521261051E-1,-1.107518193E1,1.108189232E1
2.694530000E-1,-6.501847259E-1,-5.354988633E-1,-1.222355754E1,1.225254497E1
2.794330000E-1,-1.195887748E0,-1.062751691E0,-1.050468898E1,1.062582134E1
2.894130000E-1,-1.721880318E0,-1.337963394E0,-9.059004087E0,9.317755788E0
2.993930000E-1,-1.197149285E0,-1.783281929E0,-8.966833257E0,9.220485861E0
3.093720000E-1,6.857041490E-1,-2.643947781E0,-8.032120752E0,8.483844283E0
3.193520000E-1,-3.004477011E-1,-3.007479995E0,-5.466547880E0,6.246467039E0
3.293320000E-1,-5.728740831E-1,-3.249433393E0,-3.389525079E0,4.730315249E0
3.393120000E-1,1.386058899E-1,-3.848302589E0,-2.109453213E0,4.390721725E0
3.492910000E-1,4.775789398E-1,-4.194268014E0,8.819179952E-2,4.222291275E0
3.592710000E-1,5.258660506E-1,-3.819324958E0,2.709410868E0,4.712184790E0
3.692510000E-1,7.197829278E-2,-3.392200180E0,4.469601120E0,5.611553894E0
3.792310000E-1,-3.693226025E-1,-3.557034944E0,5.394355232E0,6.472091250E0
3.892100000E-1,-3.672636517E-1,-3.565353193E0,6.689781302E0,7.589453198E0
3.991900000E-1,-2.844887127E-1,-2.884574738E0,8.982891465E0,9.438964155E0
4.091700000E-1,-2.311355377E-1,-2.032355921E0,1.122310830E1,1.140798204E1
4.191500000E-1,-2.450335105E-2,-1.732172148E0,1.219987749E1,1.232225757E1
4.291290000E-1,2.656033756E-1,-1.870260578E0,1.237630202E1,1.251963544E1
4.391090000E-1,3.876984278E-1,-1.717596794E0,1.300878013E1,1.312740680E1
4.490890000E-1,3.484574347E-1,-1.147964553E0,1.415379243E1,1.420454453E1
4.590690000E-1,3.124147589E-1,-7.620769715E-1,1.469327058E1,1.471633666E1
4.690480000E-1,2.487257165E-1,-1.028085523E0,1.417260292E1,1.421201949E1
4.790280000E-1,9.165411863E-2,-1.662813646E0,1.317035040E1,1.327522050E1
4.890080000E-1,-6.854749382E-2,-2.027516765E0,1.234471185E1,1.251029311E1
4.989880000E-1,-1.489733870E-1,-2.070145306E0,1.179251016E1,1.197376259E1
5.089670000E-1,-1.819090351E-1,-2.407933107E0,1.090644415E1,1.117057549E1
5.189470000E-1,-1.673389614E-1,-3.246437280E0,9.196583809E0,9.754204790E0
5.289270000E-1,-3.953426756E-2,-4.026450001E0,7.154301070E0,8.209621573E0
5.389070000E-1,9.390009812E-2,-4.294665876E0,5.614568390E0,7.069395337E0
5.488860000E-1,4.111400250E-2,-4.384722645E0,4.502813305E0,6.285126148E0
5.588660000E-1,-5.471250650E-2,-4.709262994E0,2.810358953E0,5.484365857E0
5.688460000E-1,-1.554178957E-2,-5.038089645E0,2.839086324E-1,5.046106710E0
5.788260000E-1,-3.642862860E-2,-4.910995735E0,-1.856212642E0,5.250212522E0
5.888050000E-1,-1.101129288E-1,-4.481798412E0,-2.959137263E0,5.371697609E0
5.987850000E-1,1.606350190E-1,-4.187746614E0,-4.134492513E0,5.887024176E0
6.087650000E-1,2.207927086E-1,-3.888683753E0,-5.902573582E0,7.071844571E0
6.187450000E-1,6.502798162E-3,-3.282949341E0,-7.650144373E0,8.324812766E0
6.287240000E-1,2.755089244E-2,-2.632612661E0,-8.791564137E0,9.177309434E0
6.387040000E-1,3.178228486E-2,-2.075095266E0,-9.714946493E0,9.934143941E0
