"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.413209854E-4,-1.393099129E-4,-6.587823987E-2,6.587882916E-2
9.979999973E-3,7.962818675E-2,-4.790623784E-2,-2.074323142E-1,2.272967679E-1
1.996100001E-2,1.068329880E-1,-8.252445884E-2,-2.932232469E-1,3.228055857E-1
2.994199999E-2,7.076749887E-2,-5.124178201E-2,-4.072568160E-1,4.165235567E-1
3.992200003E-2,1.670173097E-2,-2.197339788E-2,-2.847693425E-1,2.861037513E-1
4.990300001E-2,6.387151200E-3,-3.037189990E-3,-1.099867111E-1,1.102138687E-1
5.988299998E-2,6.263263319E-3,8.150287718E-4,-4.379389107E-2,4.424700707E-2
6.986400002E-2,3.369733022E-2,5.818564296E-3,-7.070219278E-2,7.853767133E-2
7.984500000E-2,3.497511129E-2,-1.043812048E-2,-3.108730674E-2,4.794406542E-2
8.982499997E-2,9.838945325E-3,-2.040623445E-2,6.540695429E-2,6.921913694E-2
9.980600001E-2,5.590468068E-3,-3.582797337E-2,2.431395060E-1,2.458286321E-1
1.097870000E-1,-1.434046084E-2,-4.518106990E-3,2.974975616E-1,2.978772587E-1
1.197670000E-1,7.355431840E-4,2.148541119E-2,2.901400101E-1,2.909353698E-1
1.297480000E-1,2.357481320E-2,1.181729592E-2,2.874046826E-1,2.886119746E-1
1.397280000E-1,2.327116912E-2,5.176759288E-3,1.220904475E-1,1.243962360E-1
1.497090000E-1,3.063891666E-2,-1.362825170E-2,-9.386886120E-2,9.967866151E-2
1.596900000E-1,4.412505361E-2,-4.907323245E-2,-1.247515154E-1,1.411316516E-1
1.696700000E-1,5.021948772E-2,-5.743778408E-2,-7.348722160E-2,1.059314294E-1
1.796510000E-1,2.358509151E-2,-5.732025504E-3,3.687663496E-2,4.414746724E-2
1.896310000E-1,-9.265351743E-3,1.415640146E-2,2.955212027E-1,2.960051210E-1
1.996120000E-1,-2.710140601E-2,3.437033560E-2,4.993913931E-1,5.013058644E-1
2.095930000E-1,-1.768484892E-2,1.012533098E-2,5.033867955E-1,5.037991089E-1
2.195730000E-1,1.573354170E-2,-9.226869754E-3,3.854560572E-1,3.858873560E-1
2.295540000E-1,3.341650855E-2,1.359865017E-2,5.987139523E-2,6.990114661E-2
2.395350000E-1,6.835550414E-2,1.390540972E-3,-1.983714688E-1,2.098228972E-1
2.495150000E-1,7.354054090E-2,-1.474514298E-2,-3.324972403E-1,3.408519403E-1
2.594960000E-1,8.214586990E-2,-1.379475117E-2,-3.641441256E-1,3.735494389E-1
